SampID,Cruise,Compound,Fragment_mz,Experiment,Treatment,Replicate,Peak_Area
230808_Smp_TN397_UKH1_0nM_C,TN397,D3-Homarine,97.0954,UKH1,0nM,C,61749
230808_Smp_TN397_UKH1_2nM_A,TN397,D3-Homarine,97.0954,UKH1,2nM,A,22031960
230808_Smp_TN397_UKH1_2nM_B,TN397,D3-Homarine,97.0954,UKH1,2nM,B,27498724
230808_Smp_TN397_UKH1_2nM_C,TN397,D3-Homarine,97.0954,UKH1,2nM,C,26863096
230808_Smp_TN397_UKH1_5nM_A,TN397,D3-Homarine,97.0954,UKH1,5nM,A,31214320
230808_Smp_TN397_UKH1_5nM_B,TN397,D3-Homarine,97.0954,UKH1,5nM,B,44637492
230808_Smp_TN397_UKH1_5nM_C,TN397,D3-Homarine,97.0954,UKH1,5nM,C,32628768
230808_Smp_TN397_UKH1_10nM_A,TN397,D3-Homarine,97.0954,UKH1,10nM,A,61796380
230808_Smp_TN397_UKH1_10nM_B,TN397,D3-Homarine,97.0954,UKH1,10nM,B,69511792
230808_Smp_TN397_UKH1_10nM_C,TN397,D3-Homarine,97.0954,UKH1,10nM,C,86028864
230808_Smp_TN397_UKH1_50nM_A,TN397,D3-Homarine,97.0954,UKH1,50nM,A,111037592
230808_Smp_TN397_UKH1_50nM_B,TN397,D3-Homarine,97.0954,UKH1,50nM,B,87836616
230808_Smp_TN397_UKH1_50nM_C,TN397,D3-Homarine,97.0954,UKH1,50nM,C,152683072
230808_Smp_TN397_UKH1_200nM_A,TN397,D3-Homarine,97.0954,UKH1,200nM,A,253501664
230808_Smp_TN397_UKH1_200nM_B,TN397,D3-Homarine,97.0954,UKH1,200nM,B,309969536
230808_Smp_TN397_UKH1_200nM_C,TN397,D3-Homarine,97.0954,UKH1,200nM,C,284735488
230808_Smp_TN397_UKH1_1000nM_A,TN397,D3-Homarine,97.0954,UKH1,1000nM,A,520905792
230808_Smp_TN397_UKH1_1000nM_B,TN397,D3-Homarine,97.0954,UKH1,1000nM,B,436619040
230808_Smp_TN397_UKH1_1000nM_C,TN397,D3-Homarine,97.0954,UKH1,1000nM,C,476164064
230808_Smp_TN397_UKH2_0nM_A,TN397,D3-Homarine,97.0954,UKH2,0nM,A,69784
230808_Smp_TN397_UKH2_0nM_B,TN397,D3-Homarine,97.0954,UKH2,0nM,B,78395
230808_Smp_TN397_UKH2_0nM_Blk,TN397,D3-Homarine,97.0954,UKH2,0nM,Blk,293832
230808_Smp_TN397_UKH2_0nM_C,TN397,D3-Homarine,97.0954,UKH2,0nM,C,18807
230808_Smp_TN397_UKH2_2nM_A,TN397,D3-Homarine,97.0954,UKH2,2nM,A,14286235
230808_Smp_TN397_UKH2_2nM_B,TN397,D3-Homarine,97.0954,UKH2,2nM,B,8789532
230808_Smp_TN397_UKH2_2nM_C,TN397,D3-Homarine,97.0954,UKH2,2nM,C,11667749
230808_Smp_TN397_UKH2_5nM_A,TN397,D3-Homarine,97.0954,UKH2,5nM,A,26830354
230808_Smp_TN397_UKH2_5nM_B,TN397,D3-Homarine,97.0954,UKH2,5nM,B,19450986
230808_Smp_TN397_UKH2_5nM_Blk,TN397,D3-Homarine,97.0954,UKH2,5nM,Blk,1193712
230808_Smp_TN397_UKH2_5nM_C,TN397,D3-Homarine,97.0954,UKH2,5nM,C,21040020
230808_Smp_TN397_UKH2_10nM_A,TN397,D3-Homarine,97.0954,UKH2,10nM,A,38304084
230808_Smp_TN397_UKH2_10nM_B,TN397,D3-Homarine,97.0954,UKH2,10nM,B,44193156
230808_Smp_TN397_UKH2_10nM_C,TN397,D3-Homarine,97.0954,UKH2,10nM,C,35176476
230808_Smp_TN397_UKH2_50nM_A,TN397,D3-Homarine,97.0954,UKH2,50nM,A,110597808
230808_Smp_TN397_UKH2_50nM_B,TN397,D3-Homarine,97.0954,UKH2,50nM,B,122085008
230808_Smp_TN397_UKH2_50nM_Blk,TN397,D3-Homarine,97.0954,UKH2,50nM,Blk,8201684
230808_Smp_TN397_UKH2_50nM_C,TN397,D3-Homarine,97.0954,UKH2,50nM,C,132032800
230808_Smp_TN397_UKH2_200nM_A,TN397,D3-Homarine,97.0954,UKH2,200nM,A,156552960
230808_Smp_TN397_UKH2_200nM_B,TN397,D3-Homarine,97.0954,UKH2,200nM,B,201671136
230808_Smp_TN397_UKH2_200nM_C,TN397,D3-Homarine,97.0954,UKH2,200nM,C,186435536
230808_Smp_TN397_UKH2_1000nM_A,TN397,D3-Homarine,97.0954,UKH2,1000nM,A,365642400
230808_Smp_TN397_UKH2_1000nM_B,TN397,D3-Homarine,97.0954,UKH2,1000nM,B,379650752
230808_Smp_TN397_UKH2_1000nM_Blk,TN397,D3-Homarine,97.0954,UKH2,1000nM,Blk,173022544
230808_Smp_TN397_UKH2_1000nM_C,TN397,D3-Homarine,97.0954,UKH2,1000nM,C,500793536
230808_Smp_TN397_UKH3_0nM_A,TN397,D3-Homarine,97.0954,UKH3,0nM,A,636509
230808_Smp_TN397_UKH3_0nM_B,TN397,D3-Homarine,97.0954,UKH3,0nM,B,440417
230808_Smp_TN397_UKH3_0nM_C,TN397,D3-Homarine,97.0954,UKH3,0nM,C,412887
230808_Smp_TN397_UKH3_5nM_A,TN397,D3-Homarine,97.0954,UKH3,5nM,A,27525560
230808_Smp_TN397_UKH3_5nM_B,TN397,D3-Homarine,97.0954,UKH3,5nM,B,25256614
230808_Smp_TN397_UKH3_5nM_C,TN397,D3-Homarine,97.0954,UKH3,5nM,C,22871218
230808_Smp_TN397_UKH3_10nM_A,TN397,D3-Homarine,97.0954,UKH3,10nM,A,41060556
230808_Smp_TN397_UKH3_10nM_B,TN397,D3-Homarine,97.0954,UKH3,10nM,B,49087296
230808_Smp_TN397_UKH3_10nM_C,TN397,D3-Homarine,97.0954,UKH3,10nM,C,47514768
230808_Smp_TN397_UKH3_50nM_A,TN397,D3-Homarine,97.0954,UKH3,50nM,A,109510248
230808_Smp_TN397_UKH3_50nM_B,TN397,D3-Homarine,97.0954,UKH3,50nM,B,175200784
230808_Smp_TN397_UKH3_50nM_C,TN397,D3-Homarine,97.0954,UKH3,50nM,C,181006272
230808_Smp_TN397_UKH3_200nM_A,TN397,D3-Homarine,97.0954,UKH3,200nM,A,307262144
230808_Smp_TN397_UKH3_200nM_B,TN397,D3-Homarine,97.0954,UKH3,200nM,B,356851904
230808_Smp_TN397_UKH3_200nM_C,TN397,D3-Homarine,97.0954,UKH3,200nM,C,399328960
230808_Smp_TN397_UKH3_500nM_A,TN397,D3-Homarine,97.0954,UKH3,500nM,A,472834176
230808_Smp_TN397_UKH3_500nM_B,TN397,D3-Homarine,97.0954,UKH3,500nM,B,639542720
230808_Smp_TN397_UKH3_500nM_C,TN397,D3-Homarine,97.0954,UKH3,500nM,C,456333408
230808_Smp_TN397_UKH3_1500nM_A,TN397,D3-Homarine,97.0954,UKH3,1500nM,A,903358528
230808_Smp_TN397_UKH3_1500nM_B,TN397,D3-Homarine,97.0954,UKH3,1500nM,B,962107072
230808_Smp_TN397_UKH3_1500nM_C,TN397,D3-Homarine,97.0954,UKH3,1500nM,C,1367631744
230808_Smp_TN397_UKH1_0nM_A,TN397,D3-Homarine,78.0399,UKH1,0nM,A,285326
230808_Smp_TN397_UKH1_0nM_B,TN397,D3-Homarine,78.0399,UKH1,0nM,B,76580
230808_Smp_TN397_UKH1_0nM_C,TN397,D3-Homarine,78.0399,UKH1,0nM,C,316933
230808_Smp_TN397_UKH1_2nM_A,TN397,D3-Homarine,78.0399,UKH1,2nM,A,39748560
230808_Smp_TN397_UKH1_2nM_B,TN397,D3-Homarine,78.0399,UKH1,2nM,B,50080256
230808_Smp_TN397_UKH1_2nM_C,TN397,D3-Homarine,78.0399,UKH1,2nM,C,46484356
230808_Smp_TN397_UKH1_5nM_A,TN397,D3-Homarine,78.0399,UKH1,5nM,A,55434760
230808_Smp_TN397_UKH1_5nM_B,TN397,D3-Homarine,78.0399,UKH1,5nM,B,81290168
230808_Smp_TN397_UKH1_5nM_C,TN397,D3-Homarine,78.0399,UKH1,5nM,C,60305912
230808_Smp_TN397_UKH1_10nM_A,TN397,D3-Homarine,78.0399,UKH1,10nM,A,109796392
