SampID,date,type,cruise,exp,treatment,rep,Compound,Area,Fragment_mz
230607_Smp_TN397_UKH5_200nM_Blk,230607,Smp,TN397,UKH5,200nM,Blk,D3-Homarine,89468568,97.0954
230607_Smp_TN397_UKH5_200nM_C,230607,Smp,TN397,UKH5,200nM,C,D3-Homarine,1500981504,97.0954
230607_Smp_TN397_UKH5_1000nM_A,230607,Smp,TN397,UKH5,1000nM,A,D3-Homarine,3320977152,97.0954
230607_Smp_TN397_UKH5_1000nM_B,230607,Smp,TN397,UKH5,1000nM,B,D3-Homarine,3447672064,97.0954
230607_Smp_TN397_UKH5_1000nM_C,230607,Smp,TN397,UKH5,1000nM,C,D3-Homarine,3437966080,97.0954
230607_Smp_TN397_UKH5_0nM_A,230607,Smp,TN397,UKH5,OnM,A,D3-Homarine,4452591,97.0954
230607_Smp_TN397_UKH5_0nM_B,230607,Smp,TN397,UKH5,OnM,B,D3-Homarine,5645406,97.0954
230607_Smp_TN397_UKH5_0nM_C,230607,Smp,TN397,UKH5,OnM,C,D3-Homarine,4269399,97.0954
230607_Smp_TN397_UKH5_2nM_A,230607,Smp,TN397,UKH5,2nM,A,D3-Homarine,87035864,78.0399
230607_Smp_TN397_UKH5_2nM_B,230607,Smp,TN397,UKH5,2nM,B,D3-Homarine,142917152,78.0399
230607_Smp_TN397_UKH5_2nM_C,230607,Smp,TN397,UKH5,2nM,C,D3-Homarine,78468336,78.0399
230607_Smp_TN397_UKH5_5nM_A,230607,Smp,TN397,UKH5,5nM,A,D3-Homarine,314925696,78.0399
230607_Smp_TN397_UKH5_5nM_B,230607,Smp,TN397,UKH5,5nM,B,D3-Homarine,214120720,78.0399
230607_Smp_TN397_UKH5_5nM_C,230607,Smp,TN397,UKH5,5nM,C,D3-Homarine,204129744,78.0399
230607_Smp_TN397_UKH5_10nM_A,230607,Smp,TN397,UKH5,10nM,A,D3-Homarine,337205504,78.0399
230607_Smp_TN397_UKH5_10nM_B,230607,Smp,TN397,UKH5,10nM,B,D3-Homarine,351339232,78.0399
230607_Smp_TN397_UKH5_10nM_Blk,230607,Smp,TN397,UKH5,10nM,Blk,D3-Homarine,13809895,78.0399
230607_Smp_TN397_UKH5_10nM_C,230607,Smp,TN397,UKH5,10nM,C,D3-Homarine,333139520,78.0399
